60,A1,A3,A12,A3,A7,A3,A1,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,
61,A3,A14,A3,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,A1,A3,A10,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,A3,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,A13,A13,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
